MEG477	MEG87	3	Fly	Worm	Yeast
MEG2346	MEG986	3	Fly	Worm	Yeast
MEG2046	MEG460	3	Fly	Worm	Yeast
MEG1503	MEG1690	3	Fly	Worm	Yeast
MEG1453	MEG597	3	Fly	Worm	Yeast
MEG1408	MEG2289	3	Fly	Worm	Yeast
MEG1020	MEG849	3	Fly	Worm	Yeast
MEG1010	MEG1010	3	Fly	Worm	Yeast
MEG962	MEG962	2	Fly	-	Yeast
MEG941	MEG95	2	Fly	-	Yeast
MEG803	MEG822	2	-	Worm	Yeast
MEG756	MEG756	2	-	Worm	Yeast
MEG730	MEG940	2	Fly	-	Yeast
MEG719	MEG870	2	Fly	-	Yeast
MEG651	MEG821	2	Fly	-	Yeast
MEG620	MEG620	2	Fly	-	Yeast
MEG617	MEG72	2	Fly	-	Yeast
MEG60	MEG60	2	-	Worm	Yeast
MEG59	MEG767	2	Fly	-	Yeast
MEG5832	MEG6263	2	Fly	Worm	-
MEG583	MEG78	2	Fly	-	Yeast
MEG575	MEG596	2	Fly	-	Yeast
MEG567	MEG567	2	Fly	-	Yeast
MEG564	MEG756	2	-	Worm	Yeast
MEG5189	MEG5189	2	Fly	Worm	-
MEG504	MEG95	2	Fly	-	Yeast
MEG49	MEG620	2	Fly	-	Yeast
MEG4483	MEG5483	2	Fly	Worm	-
MEG4482	MEG4482	2	Fly	Worm	-
MEG445	MEG783	2	Fly	-	Yeast
MEG4407	MEG4407	2	Fly	Worm	-
MEG440	MEG623	2	Fly	-	Yeast
MEG4341	MEG5151	2	Fly	Worm	-
MEG414	MEG80	2	Fly	-	Yeast
MEG399	MEG796	2	Fly	-	Yeast
MEG395	MEG651	2	Fly	-	Yeast
MEG384	MEG554	2	Fly	-	Yeast
MEG3684	MEG60	2	Fly	Worm	-
MEG355	MEG520	2	Fly	-	Yeast
MEG35	MEG874	2	-	Worm	Yeast
MEG3484	MEG6102	2	Fly	Worm	-
MEG3484	MEG3484	2	Fly	Worm	-
MEG334	MEG77	2	Fly	-	Yeast
MEG331	MEG849	2	-	Worm	Yeast
MEG331	MEG331	2	-	Worm	Yeast
MEG31	MEG87	2	-	Worm	Yeast
MEG3046	MEG3400	2	Fly	Worm	-
MEG2913	MEG4573	2	Fly	Worm	-
MEG2885	MEG4498	2	Fly	Worm	-
MEG2884	MEG5982	2	Fly	Worm	-
MEG287	MEG838	2	Fly	-	Yeast
MEG2807	MEG2807	2	Fly	Worm	-
MEG273	MEG616	2	-	Worm	Yeast
MEG273	MEG337	2	-	Worm	Yeast
MEG2693	MEG623	2	Fly	Worm	-
MEG256	MEG378	2	Fly	-	Yeast
MEG2442	MEG2442	2	Fly	Worm	-
MEG2434	MEG528	2	Fly	-	Yeast
MEG24	MEG999	2	Fly	-	Yeast
MEG2369	MEG806	2	Fly	-	Yeast
MEG2363	MEG80	2	Fly	-	Yeast
MEG2344	MEG615	2	-	Worm	Yeast
MEG2344	MEG512	2	Fly	-	Yeast
MEG2304	MEG4226	2	Fly	Worm	-
MEG2292	MEG2388	2	Fly	-	Yeast
MEG2278	MEG583	2	Fly	-	Yeast
MEG2271	MEG390	2	Fly	-	Yeast
MEG2266	MEG2266	2	-	Worm	Yeast
MEG2265	MEG518	2	-	Worm	Yeast
MEG2237	MEG940	2	-	Worm	Yeast
MEG2237	MEG2237	2	Fly	-	Yeast
MEG2234	MEG2234	2	Fly	-	Yeast
MEG2219	MEG2219	2	-	Worm	Yeast
MEG2215	MEG684	2	Fly	-	Yeast
MEG2201	MEG726	2	-	Worm	Yeast
MEG2188	MEG504	2	Fly	-	Yeast
MEG2178	MEG480	2	Fly	-	Yeast
